protein_id,protein_name,nsnp,b,se,pval,fdr_q,bonf_thresh,bonf_sig,or
18312_68_NDRG3_NDRG3,NDRG3,1,0.740607414024118,0.19407771326485,0.000135613085585232,0.174505751016586,2.94985250737463e-05,FALSE,2.0972090018474
17435_43_ETFA_ETFA,ETFA,1,-0.601750865051903,0.162124567474048,0.000205906490875028,0.174505751016586,2.94985250737463e-05,FALSE,0.547851581688421
5400_52_LEPR_sLeptin_R,LEPR,9,-0.041166467862816,0.0115184107850442,0.000351607685127546,0.198658342097064,2.94985250737463e-05,FALSE,0.959669362542306
15525_294_ADH1C_ADH1G,ADH1C,1,0.23461767005473,0.0714017982799062,0.00101664668955914,0.203285292886418,2.94985250737463e-05,FALSE,1.26442524867056
8398_277_RARRES1_RAR_responsive_protein_TIG1,RARRES1,8,0.0751356469503944,0.0228909920012714,0.00102955320926872,0.203285292886418,2.94985250737463e-05,FALSE,1.07803037249961
14273_19_PREP_PPCE,PREP,3,0.171584119419839,0.0528838656368954,0.00117638134671591,0.203285292886418,2.94985250737463e-05,FALSE,1.18718400376174
3366_51_ECM1_ECM1,ECM1,3,0.0944399851794951,0.0293523368714148,0.00129330823023309,0.203285292886418,2.94985250737463e-05,FALSE,1.09904320227318
17408_2_PMM1_PMM1,PMM1,1,-0.557423841059603,0.173306291390728,0.00129805886862485,0.203285292886418,2.94985250737463e-05,FALSE,0.572682486255763
7808_5_GLCE_GLCE,GLCE,4,-0.0886545983183668,0.0276193369448651,0.001327930549768,0.203285292886418,2.94985250737463e-05,FALSE,0.915161617351883
15596_7_HEXIM1_HEXI1,HEXIM1,1,0.355013714285714,0.110896457142857,0.00136805218569894,0.203285292886418,2.94985250737463e-05,FALSE,1.42620021346457
17210_2_TCL1A_TCL1A,TCL1A,3,0.149476820307289,0.0467279014577581,0.00137963903533903,0.203285292886418,2.94985250737463e-05,FALSE,1.16122655362535
15535_3_PRSS27_Marapsin,PRSS27,3,-0.146251119986788,0.0458945944352973,0.00143918791424013,0.203285292886418,2.94985250737463e-05,FALSE,0.863940723158787
4324_33_CST2_CYTT,CST2,6,0.0711961295265723,0.0227160961857404,0.00172340401912491,0.214900982870982,2.94985250737463e-05,FALSE,1.07379180749589
2436_49_CXCL16_CXCL16__soluble,CXCL16,3,0.155336366709036,0.0496995870349625,0.00177499336884587,0.214900982870982,2.94985250737463e-05,FALSE,1.1680507884341
9244_27_PPT1_PPT1,PPT1,2,0.113099495875123,0.036701984373174,0.00205916542411421,0.224563770749746,2.94985250737463e-05,FALSE,1.11974333724961
17843_30_PPCS_PPCS,PPCS,1,-0.302318048780488,0.0983814634146341,0.00211977600707725,0.224563770749746,2.94985250737463e-05,FALSE,0.739102956709542
6897_38_B3GAT3_B3GA3,B3GAT3,3,-0.360906022360269,0.118770815776218,0.00237620293802724,0.236921410585657,2.94985250737463e-05,FALSE,0.697044501985976
7923_41_SEMA4C_SEM4C,SEMA4C,2,0.11396388009605,0.0387589122554732,0.00327865925896161,0.255227574645362,2.94985250737463e-05,FALSE,1.12071164415613
2819_23_CDH5_Cadherin_5,CDH5,2,-0.179648761458233,0.0611308594621674,0.00329530973339436,0.255227574645362,2.94985250737463e-05,FALSE,0.835563642031364
9883_29_GLO1_Glyoxalase_I,GLO1,3,-0.235191774933829,0.0801285099822213,0.00333351903104271,0.255227574645362,2.94985250737463e-05,FALSE,0.790419252493091
9848_22_CCNH_Cyclin_H,CCNH,1,-0.317741433021807,0.108792315680166,0.00349331305490996,0.255227574645362,2.94985250737463e-05,FALSE,0.727790946793644
11109_56_SVEP1_SVEP1,SVEP1,7,-0.0518385499672644,0.0178750320238121,0.00373098920713297,0.255227574645362,2.94985250737463e-05,FALSE,0.949482148392841
5740_17_ROBO1_ROBO1,ROBO1,4,-0.113420121733755,0.0391666772932792,0.00378154654214372,0.255227574645362,2.94985250737463e-05,FALSE,0.892775506922706
14205_6_HEXIM2_HEXI2,HEXIM2,1,0.3103605292172,0.10854454244763,0.00424587914410328,0.255227574645362,2.94985250737463e-05,FALSE,1.36391675734183
