protein_id,protein_name,source,nsnp_exp,nsnp_used,ivw_b,ivw_se,ivw_pval,wm_b,wm_se,wm_pval,egg_b,egg_se,egg_pval,het_q,het_q_df,het_q_pval,egg_int,egg_int_se,egg_int_pval,bonf_thresh,bonf_sig,fdr_q,or,or_lci95,or_uci95,z
prot-a-1247,Glypican-5,prot-a,24,23,0.0113608704409387,0.0100194187408098,0.256842713620169,0.0123549472849076,0.0128265447357175,0.335430759681919,0.0126946985117642,0.0155710457772901,0.424064944536105,14.9847969158512,21,0.823713885766162,-0.000531784530617325,0.00475209454341485,0.91196124927572,1.15048320294524e-05,FALSE,0.976535069110844,1.01142565021531,0.991756971329453,1.03148440140748,1.13388518184843
prot-a-2004,Next to BRCA1 gene 1 protein,prot-a,18,15,0.0233570527535994,0.0205991579191392,0.256843266953467,0.0106744106356287,0.0260470203055954,0.681943041744059,-0.0676353822845022,0.0383156277533077,0.1029368026472,11.070378206956,12,0.522897091741129,0.0254924196965474,0.00956102544590797,0.0205513607712406,1.15048320294524e-05,FALSE,0.976535069110844,1.02363196491701,0.983126679573838,1.06580608722171,1.13388386288829
prot-a-3165,Protein unc-13 homolog A,prot-a,22,19,-0.0234767810637186,0.0207059959275145,0.256871908575935,-0.00158905318140181,0.0275906255179193,0.954072066714846,-0.0898373765067529,0.0494507439622046,0.0869361272731413,18.7117769165574,17,0.345324537327856,0.01280754068034,0.00872243462122752,0.160270690251039,1.15048320294524e-05,FALSE,0.976535069110844,0.976796654584824,0.937948220916017,1.01725413315064,-1.13381559360408
prot-a-424,Cell surface glycoprotein CD200 receptor 2,prot-a,31,29,0.0170928064930652,0.0150874540819533,0.257249854116682,0.0162434240880238,0.0233401953716181,0.486465103818026,0.0404294011018219,0.0307119617876362,0.199525367083802,30.3142431858565,26,0.254797264124574,-0.00533266832375901,0.00610419181315317,0.390329707078205,1.15048320294524e-05,FALSE,0.976535069110844,1.01723972439604,0.987598931420883,1.04777012607797,1.13291522878671
prot-a-1286,Glutathione S-transferase kappa 1,prot-a,20,18,-0.0252244668281042,0.0222935646714762,0.257857942101,-0.00316696164826184,0.0278933190282427,0.9096037542029,-0.0670605079571544,0.0481220466907831,0.18251017117397,21.3634699123044,16,0.164958532416141,0.0086682262395093,0.00883352094335862,0.341057048191087,1.15048320294524e-05,FALSE,0.976535069110844,0.975091011874792,0.933401485864051,1.01864256253979,-1.13146852913917
prot-c-4979_34_2,"",prot-c,10,10,-0.0157948948794364,0.0139601666828366,0.257875853535406,-0.00305747060113055,0.0197611457829777,0.877041019832137,-0.0356751854769704,0.0509408614250112,0.503578408621565,8.25647323861722,8,0.408826641110378,0.00542716752318011,0.0133566580231313,0.695154846304252,1.15048320294524e-05,FALSE,0.976535069110844,0.984329190309519,0.957761180669797,1.01163418861663,-1.13142595201643
prot-c-2474_54_5,"",prot-c,4,4,-0.0286755337694426,0.0253486103410352,0.257951238390549,-0.0132317632417654,0.0269064737001964,0.62288282247758,-0.0938609463950393,0.039696986131994,0.141795715587366,0.212350442834994,2,0.899267063420663,0.0258899570909876,0.0131848066795014,0.188545376089038,1.15048320294524e-05,FALSE,0.976535069110844,0.971731707445216,0.924632599557608,1.02122995847884,-1.13124677777786
prot-a-2151,Origin recognition complex subunit 6,prot-a,30,27,0.021197511167632,0.0187455268380089,0.258137720929915,0.0120448787678146,0.0237679237450971,0.61231597052413,-0.0382615444576554,0.0487614648707703,0.440021022726196,34.8943436754768,25,0.0901323224848946,0.0116724752451817,0.00885788633798405,0.199536173904984,1.15048320294524e-05,FALSE,0.976535069110844,1.02142377431794,0.984576458715169,1.05965008355307,1.13080370324143
prot-a-2,Lactosylceramide 4-alpha-galactosyltransferase,prot-a,21,19,0.0201990005357915,0.0178629274391493,0.258148655643308,0.0149561972004255,0.0246972117353223,0.544792080429935,-0.0011050298969333,0.0386693663090672,0.977535257833632,14.0152661693858,17,0.666021008988776,0.00432620381156478,0.00696453912791944,0.542724061873814,1.15048320294524e-05,FALSE,0.976535069110844,1.02040438084198,0.985296825771271,1.05676286902321,1.13077772971984
prot-a-1647,Killer cell immunoglobulin-like receptor 3DL3,prot-a,31,30,0.0216251814115909,0.0191256209898877,0.25818486495906,0.00105698993651903,0.0224821537953003,0.962501574663459,0.0186267156876168,0.0393648408509363,0.639751898972506,60.6174709870626,28,0.000339438829566497,0.000701715629195062,0.00800776047287352,0.93079491382959,1.15048320294524e-05,FALSE,0.976535069110844,1.02186070029615,0.984264088094008,1.06089341614789,1.13069172619413
prot-a-858,Inactive dipeptidyl peptidase 10,prot-a,23,23,-0.0251594548121757,0.0222518394228691,0.258194627072177,0.0147202768566211,0.0244631724448658,0.547352459206622,0.0060606021457972,0.053361231380298,0.91065203688109,40.6870426949729,21,0.0061283592574334,-0.00588913111821632,0.00912248908969996,0.525554737319582,1.15048320294524e-05,FALSE,0.976535069110844,0.975154406567874,0.933538513195166,1.01862548058576,-1.13066854088109
prot-a-1873,E3 ubiquitin-protein ligase Mdm2,prot-a,23,22,0.0191154400237501,0.0169096084979877,0.25828732574333,9.55856178234274e-05,0.0233021583333644,0.996727081083065,-0.0527193236913018,0.0271442153267497,0.0663302064107009,18.8508608754812,20,0.5315384011168,0.0208930250352663,0.00667779395774133,0.00528848652803882,1.15048320294524e-05,FALSE,0.976535069110844,1.0192993097624,0.986070532825373,1.05364783582485,1.13044840902289
prot-a-1485,Interleukin-17F,prot-a,26,24,-0.0197179561760024,0.0174586678241945,0.258725830474079,0.000988232577000604,0.0228096124744478,0.965442249053999,-0.0464968136423409,0.0478294732542349,0.341550249621907,28.3829284712856,22,0.163335250737589,0.00514253582206087,0.00853253470806909,0.552872644385716,1.15048320294524e-05,FALSE,0.976535069110844,0.980475171279292,0.947491848611204,1.01460668279547,-1.12940783194677
prot-a-1001,Exosome complex component CSL4,prot-a,26,25,-0.0240366830637346,0.0212826293408735,0.258727518432514,-0.0213468243610424,0.0248445135986491,0.390220896566636,-0.0379865918859859,0.0549514198129262,0.496310966527265,36.223065320539,23,0.0391405202073832,0.00284745698443431,0.0103046874285723,0.784765266190617,1.15048320294524e-05,FALSE,0.976535069110844,0.976249897263855,0.936364330200859,1.01783443812223,-1.12940382876339
