protein_id,protein_name,source,nsnp_exp,nsnp_used,ivw_b,ivw_se,ivw_pval,wm_b,wm_se,wm_pval,egg_b,egg_se,egg_pval,het_q,het_q_df,het_q_pval,egg_int,egg_int_se,egg_int_pval,bonf_thresh,bonf_sig,fdr_q,or,or_lci95,or_uci95,z
prot-a-1832,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA",prot-a,20,18,-0.069506715110907,0.0204011780415901,0.000656822886040918,-0.0861794274356264,0.0284465824793811,0.00244944484588608,-0.0842653888851227,0.0460808143465481,0.0874053763250994,12.2177860958306,15,0.662475106718343,0.00273990961508076,0.00767070623110798,0.725924133139291,1.15048320294524e-05,FALSE,0.259086772957413,0.932853869146332,0.896288416783384,0.970911064882809,-3.4069951729851
prot-a-623,Collagen alpha-3(VI) chain,prot-a,24,24,-0.0580682468924311,0.0173653887458412,0.00082607391804138,-0.0498861536172085,0.0256903329086744,0.0521581812762937,-0.0936129441274717,0.0435172782525687,0.0432572267217538,21.2458361372759,21,0.444021335774695,0.00715809064792763,0.0080284818311743,0.382716602231393,1.15048320294524e-05,FALSE,0.278536366691529,0.943585548457883,0.912009922681035,0.976254386181668,-3.34390710984444
prot-c-4359_87_1,"",prot-c,4,4,-0.0772067733453219,0.0232424544128581,0.000894389390017202,-0.0606292620409381,0.0308815365466919,0.0496130502485353,-0.185590487423805,0.0709000006522225,0.120191498152866,0.225286758628035,2,0.893469232918561,0.035701771338391,0.0220640043093798,0.247048882424707,1.15048320294524e-05,FALSE,0.278536366691529,0.925698424056012,0.884474156515043,0.968844104700769,-3.32179949560791
prot-c-2875_15_2,"",prot-c,5,5,-0.0725567582188451,0.021851456724397,0.000898711485061397,-0.0870259497276101,0.0293866264814364,0.00306230588716336,-0.0880361308818868,0.124252368835904,0.529711301535708,3.49679016297247,3,0.321178664583685,0.00412891284729928,0.0325397636530452,0.907055937434313,1.15048320294524e-05,FALSE,0.278536366691529,0.930012959283162,0.891022487442153,0.970709624756555,-3.32045406097965
prot-a-1130,Feline leukemia virus subgroup C receptor-related protein 1,prot-a,25,23,0.0489192048892893,0.0149646190663588,0.00107931738550199,0.044795727805831,0.0220708544091312,0.0423938885365636,0.0944078935566324,0.0290478287301982,0.00400987689577031,13.4537225130199,20,0.857079574710815,-0.0107842908177138,0.00590237444404595,0.0826453958685522,1.15048320294524e-05,FALSE,0.310903001065313,1.05013550149827,1.01978166607834,1.08139281984532,3.26899098950418
prot-a-19,Lysosomal acid phosphatase,prot-a,26,25,0.0437421861076415,0.0134804404334659,0.00117507028331003,0.0369191504530186,0.0196458334927505,0.0602123253953818,0.0311084324392256,0.0238076320682188,0.20482406005258,13.5559019782978,22,0.916489255278422,0.00338020586993118,0.0052503327914639,0.52635539013299,1.15048320294524e-05,FALSE,0.310903001065313,1.04471297864605,1.01747139290475,1.07268392542774,3.24486327605805
prot-c-3394_81_2,"",prot-c,3,3,0.132318903676085,0.0409072605391482,0.00121810348423838,,,,,,,0.655241007569753,1,0.418245091294675,,,,1.15048320294524e-05,FALSE,0.310903001065313,1.14147228093633,1.05352393448264,1.2367625694103,3.23460681385535
prot-c-2911_27_2,"",prot-c,4,4,0.0919786761370859,0.0289305539597749,0.00147635330672293,0.0919139657349882,0.0352760647284462,0.00917237323827219,0.0906556219783677,0.140666643075268,0.635548659433122,2.33585791195121,1,0.126425321796305,0.000334448392929434,0.0340212627482538,0.993741866579362,1.15048320294524e-05,FALSE,0.355883166548377,1.09634144359691,1.035904326232,1.16030460585118,3.17929190934171
prot-a-2701,Plasma protease C1 inhibitor,prot-a,24,23,-0.0381979699548844,0.0120961343167455,0.00158928653797389,-0.0600764082812108,0.0161412533484664,0.000197715870898213,-0.0821173118186658,0.0196333534121316,0.000419942154467805,16.6097721216301,21,0.73447244659109,0.0141236464823879,0.00511194043535567,0.0116590803000804,1.15048320294524e-05,FALSE,0.3629428572773,0.962522371517852,0.939970870323598,0.985614921612844,-3.15786588960114
prot-a-1916,Matrix metalloproteinase-16,prot-a,20,17,0.0581961596925486,0.018878625543888,0.00205167592509024,0.0660701469325298,0.0255253232830602,0.00964185505774353,0.0268807932238759,0.045941750277581,0.567787910548753,11.5897616121896,14,0.639210536023219,0.00630455206582864,0.00843221126837996,0.467030156179333,1.15048320294524e-05,FALSE,0.429676543914562,1.05992288946756,1.02142024270937,1.09987690143803,3.08264812802486
prot-a-489,Cadherin-related family member 3,prot-a,23,22,-0.0554376268977222,0.0180072488099712,0.00207955921230832,-0.0498537939646389,0.0261663553869194,0.0567458666802715,-0.0793077239720029,0.044674996164353,0.0918843441865216,11.393130183803,19,0.909905135796342,0.00441481766397941,0.00756177974875773,0.566199978012455,1.15048320294524e-05,FALSE,0.429676543914562,0.946071031215366,0.913262583522348,0.980058104048016,-3.07862836143102
prot-a-2997,Transmembrane protein 132A,prot-a,21,19,0.0353725110425454,0.0116093031741845,0.00231206321573458,0.0282755481543183,0.0145057300197764,0.0512634871442376,0.0279937524808764,0.018448154588643,0.147534591541076,14.3371189544476,17,0.643111499654728,0.00271681596732164,0.00527891449570209,0.613420869086682,1.15048320294524e-05,FALSE,0.454387924529482,1.03600556043957,1.01269822318401,1.05984931807931,3.04691078455105
prot-a-563,CDGSH iron-sulfur domain-containing protein 2,prot-a,25,22,-0.0557689974089989,0.0183777494828644,0.00240860158197236,-0.0575056177470888,0.0246997271330343,0.0199021028320861,-0.0693148540127036,0.0485426052578941,0.168745282547977,27.3932964694729,20,0.124557080428791,0.00263820644480606,0.00871732315614137,0.765289727939661,1.15048320294524e-05,FALSE,0.454387924529482,0.945757583110646,0.91229727152944,0.980445117973177,-3.03459340660827
prot-a-1200,Glial fibrillary acidic protein,prot-a,20,16,-0.0598767462351701,0.0199223360317082,0.00265137362581423,-0.0685163012690717,0.0274201268286738,0.0124628873127601,-0.0862979329242919,0.0496821837883257,0.104327232042218,10.5466683436021,14,0.721223966203859,0.00464328476573471,0.00799847281023294,0.570789879005304,1.15048320294524e-05,FALSE,0.479346256766997,0.941880616762294,0.905811071663515,0.979386457049255,-3.00550829681172
prot-c-4883_56_2,"",prot-c,5,5,0.0588756329435076,0.0198849526588856,0.00306827842110137,0.0528904932695427,0.0257069642680274,0.0396440826769811,0.0579944588622867,0.0476908782464439,0.310922449628066,0.853844010074658,3,0.836549544121602,0.000247208820249249,0.0121609253620413,0.985058061230191,1.15048320294524e-05,FALSE,0.512564100862045,1.06064332344912,1.02010047335278,1.10279750766094,2.96081333224593
prot-a-1704,Tyrosine-protein kinase Lck,prot-a,31,28,-0.0468873170767996,0.0158376168329277,0.00307136820060225,-0.0432178008324662,0.0204478384944433,0.0345525839155656,-0.0672627585334217,0.0450631141421544,0.147569045708924,33.0285874860503,26,0.161270203490989,0.00378917894833972,0.00782952068737551,0.632465351934945,1.15048320294524e-05,FALSE,0.512564100862045,0.954194913004782,0.925030058733729,0.984279292773003,-2.96050331128841
prot-c-3848_14_2,"",prot-c,2,2,0.0976835008256764,0.0334541534791457,0.00350119606490232,,,,,,,0.00422195948226119,1,0.948192625642583,,,,1.15048320294524e-05,FALSE,0.562655175022635,1.10261375353473,1.03263455813071,1.17733527307542,2.91992146465668
prot-c-2747_3_2,"",prot-c,3,3,0.0573979437985931,0.0198472508033199,0.00382816703305682,0.0511844297556998,0.0267278715278721,0.0554898518029224,0.041328296331147,0.0334208629259278,0.43290392243989,0.322229091876361,1,0.570271111836164,0.00715111852297229,0.0119660001297691,0.657073612241325,1.15048320294524e-05,FALSE,0.593229169872626,1.05907717974519,1.01866946758408,1.10108775059016,2.89198460620007
prot-c-5451_1_3,"",prot-c,7,7,-0.0547544461105933,0.0192998892275867,0.00455347319074787,-0.0389442794317306,0.0245593594497344,0.112802729631588,-0.113089525303566,0.119603936962173,0.397925982432186,4.31770639700204,4,0.364713141300479,0.0130854808276331,0.0264493275619447,0.646726846150342,1.15048320294524e-05,FALSE,0.662202116887273,0.946717589600137,0.911574250046558,0.983215787866448,-2.83703421635855
prot-c-3508_78_3,"",prot-c,2,2,0.0791939121835164,0.0280377111826382,0.00473470863841112,,,,,,,0.437322704675964,1,0.508417510446955,,,,1.15048320294524e-05,FALSE,0.662202116887273,1.08241419502122,1.02453617529183,1.14356185544129,2.8245498239013
